freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
9.19039,0.0808773,0.142588,0.136204
9.21476,0.0579293,0.0671332,0.0645312
9.23914,0.071252,0.0613186,0.0613905
9.26352,0.0404325,0.0396543,0.0646628
9.2879,0.0351595,0.0319406,0.0534199
9.31227,0.0583708,0.0606643,0.0660707
9.33665,0.112408,0.123256,0.0589631
9.36103,0.071806,0.0654178,0.0464511
9.38541,0.0518788,0.0253867,0.0373556
9.40979,0.0534107,0.0550831,0.0581096
9.43416,0.0483302,0.0603095,0.0505015
9.45854,0.0543157,0.0752463,0.0615994
9.48292,0.036866,0.0529813,0.0788012
9.5073,0.0335807,0.0663598,0.0400333
9.53167,0.0368074,0.0800797,0.0366522
9.55605,0.0575527,0.0727381,0.0496625
9.58043,0.0601759,0.0754588,0.0559416
9.60481,0.0690557,0.126158,0.0684863
9.62918,0.0917693,0.156188,0.102206
9.65356,0.067092,0.132008,0.0740231
9.67794,0.0420833,0.0585511,0.0475873
9.70232,0.040592,0.0878291,0.0856707
9.7267,0.104798,0.113424,0.134307
9.75107,0.112677,0.0769837,0.0555616
9.77545,0.0889332,0.0700616,0.0545417
9.79983,0.055781,0.0867342,0.0523973
9.82421,0.062506,0.101444,0.0460489
9.84858,0.0438144,0.08649,0.0541484
9.87296,0.0277254,0.0460757,0.0712348
9.89734,0.0484281,0.0732436,0.0506982
9.92172,0.0953021,0.108563,0.0796795
9.94609,0.0953397,0.0944892,0.050145
9.97047,0.0647577,0.0865395,0.0293579
9.99485,0.118319,0.191964,0.0521105
10.0192,0.148088,0.259296,0.104246
10.0436,0.140123,0.252043,0.101495
10.068,0.0834464,0.153507,0.0370671
10.0924,0.0601485,0.0717423,0.0486693
10.1167,0.0900601,0.109272,0.0716668
10.1411,0.0591336,0.107873,0.0466885
10.1655,0.0999131,0.130388,0.0676105
10.1899,0.0738236,0.0687041,0.0547624
10.2142,0.0428703,0.0884234,0.042608
10.2386,0.0520425,0.10357,0.0424185
10.263,0.0715088,0.130339,0.0350647
10.2874,0.0759726,0.14138,0.0348254
10.3118,0.0629102,0.0695063,0.0573266
10.3361,0.0649362,0.0826873,0.0549262
10.3605,0.0590208,0.131299,0.0380981
10.3849,0.0410726,0.0702223,0.0224786
10.4093,0.08093,0.125568,0.0667482
10.4336,0.133309,0.134249,0.0704059
10.458,0.137818,0.224462,0.045175
10.4824,0.0778995,0.0944442,0.0159377
10.5068,0.0465205,0.0579016,0.0340401
10.5312,0.0527658,0.0992196,0.0228417
10.5555,0.0532807,0.126104,0.0409182
10.5799,0.0641364,0.112539,0.0440796
10.6043,0.0616895,0.0882877,0.0343268
10.6287,0.0681665,0.0817304,0.0297292
10.653,0.0482087,0.0762872,0.0505417
10.6774,0.0644412,0.087677,0.0538557
10.7018,0.0437991,0.0698104,0.053493
10.7262,0.0674254,0.0612779,0.0516578
10.7506,0.0704645,0.0574561,0.0549642
10.7749,0.0829624,0.0958363,0.0285683
10.7993,0.0404942,0.0618074,0.0331821
10.8237,0.0612864,0.0622926,0.069903
10.8481,0.038504,0.0481787,0.0333545
10.8724,0.0370771,0.0385134,0.0229668
10.8968,0.0228527,0.0368856,0.0289222
10.9212,0.0268825,0.0421782,0.0285107
10.9456,0.0307023,0.0636583,0.0321023
10.97,0.0230805,0.0587489,0.0332727
10.9943,0.0266824,0.0608537,0.0326719
11.0187,0.0499632,0.121451,0.0663709
11.0431,0.0294068,0.065213,0.0316548
11.0675,0.0162711,0.0293195,0.0139875
11.0918,0.0272629,0.025562,0.0333302
11.1162,0.0340676,0.0271283,0.0193877
11.1406,0.0372604,0.0448341,0.0260045
11.165,0.0326549,0.0384084,0.0344937
11.1894,0.0334016,0.0364297,0.0289635
11.2137,0.0294933,0.0218814,0.0229292
11.2381,0.0210972,0.0295508,0.0131453
11.2625,0.0346684,0.0349352,0.0181719
11.2869,0.0308305,0.03392,0.0410571
11.3112,0.0295368,0.0293967,0.05206
11.3356,0.0264584,0.0301373,0.0176423
11.36,0.0383807,0.0476712,0.0303955
11.3844,0.0308571,0.0282002,0.0206
11.4088,0.0362754,0.0411959,0.042833
11.4331,0.0355878,0.0592374,0.0346228
11.4575,0.0361621,0.0418397,0.0259983
11.4819,0.0166713,0.0174777,0.0137868
11.5063,0.0306129,0.0391554,0.0324465
11.5306,0.0498461,0.0661912,0.051513
11.555,0.113559,0.111484,0.086249
11.5794,0.0729124,0.0705893,0.0510768
11.6038,0.0497804,0.0445665,0.0387569
11.6282,0.0503186,0.0583261,0.0295136
11.6525,0.0739663,0.0632059,0.0389186
11.6769,0.0312424,0.0374075,0.0309062
11.7013,0.0394711,0.0294249,0.0189607
11.7257,0.0579506,0.0340563,0.0443943
11.75,0.034004,0.0278025,0.0286979
11.7744,0.0440176,0.0519516,0.0383002
11.7988,0.0641305,0.0926702,0.0555332
11.8232,0.0540163,0.0884175,0.0341894
11.8476,0.0211392,0.0415845,0.0177596
11.8719,0.0313456,0.0339156,0.0180137
11.8963,0.0460209,0.0385124,0.0360672
11.9207,0.051063,0.0378904,0.0450817
11.9451,0.0248334,0.02644,0.0255753
11.9694,0.0403729,0.0533236,0.0414251
11.9938,0.0390868,0.038762,0.0282157
