freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
8.87172,0.0014439,0.00377938,0.00239124
8.8961,0.00244808,0.00524827,0.002994
8.92047,0.00402705,0.0054477,0.00292145
8.94484,0.0028685,0.00525597,0.00174737
8.96921,0.00189545,0.00530475,0.00109742
8.99359,0.00229875,0.00389558,0.00196354
9.01796,0.00312702,0.00393566,0.00171225
9.04233,0.00340258,0.00516142,0.00233734
9.06671,0.00419362,0.00795117,0.00315367
9.09108,0.00240559,0.00636507,0.00253509
9.11545,0.0015978,0.00577807,0.001899
9.13982,0.00181599,0.00462739,0.00147108
9.1642,0.00195546,0.00535169,0.0030766
9.18857,0.00217221,0.00593465,0.00401951
9.21294,0.00225184,0.00306806,0.00267946
9.23732,0.00317521,0.00493466,0.00260843
9.26169,0.00165694,0.00500576,0.00142603
9.28606,0.00181027,0.00455141,0.00197627
9.31043,0.00189417,0.00353612,0.00327941
9.33481,0.00169853,0.00510162,0.0037719
9.35918,0.00174257,0.00291963,0.00288381
9.38355,0.00262147,0.00563037,0.00269638
9.40793,0.0024235,0.00446196,0.00209907
9.4323,0.00199124,0.00460102,0.00258051
9.45667,0.00239611,0.00653877,0.00289064
9.48104,0.00231452,0.00475438,0.00355803
9.50542,0.00187822,0.0046043,0.00295498
9.52979,0.00175464,0.00404876,0.00200879
9.55416,0.0013787,0.00360786,0.00213719
9.57854,0.00103115,0.00270752,0.00290312
9.60291,0.00198799,0.00467376,0.00272358
9.62728,0.00240869,0.00545727,0.00293481
9.65165,0.00262894,0.00550815,0.00270546
9.67603,0.00194382,0.00382743,0.00178995
9.7004,0.0012575,0.00404539,0.00213989
9.72477,0.00169068,0.00404223,0.00229578
9.74915,0.00224728,0.00450441,0.00254114
9.77352,0.00217207,0.00744681,0.00363445
9.79789,0.00231342,0.00387421,0.00255168
9.82226,0.00212001,0.00314409,0.0015294
9.84664,0.00182834,0.00312781,0.00146827
9.87101,0.00138113,0.00467522,0.00196503
9.89538,0.00186679,0.00764691,0.00139222
9.91976,0.00141745,0.00395177,0.00251996
9.94413,0.00161112,0.00362236,0.00229431
9.9685,0.00134457,0.00474186,0.00219702
9.99287,0.00089518,0.00474165,0.00290912
10.0172,0.00129323,0.00353711,0.00220966
10.0416,0.00173842,0.00451807,0.00215133
10.066,0.00257788,0.00514992,0.00240166
10.0904,0.00242638,0.00427805,0.00306716
10.1147,0.00172202,0.00405397,0.00317192
10.1391,0.00132928,0.00461388,0.00262116
10.1635,0.00110247,0.00408797,0.00184696
10.1879,0.00102928,0.00297661,0.00182868
10.2122,0.00130033,0.0024374,0.00294304
10.2366,0.00184059,0.0027867,0.0025004
10.261,0.00270316,0.00452637,0.00314768
10.2853,0.00230393,0.00344372,0.00161337
10.3097,0.00160492,0.00364943,0.00154965
10.3341,0.00125544,0.00449844,0.00193709
10.3585,0.00170011,0.00217516,0.00173144
10.3828,0.00292814,0.00464691,0.00261145
10.4072,0.00179223,0.00391509,0.00159755
10.4316,0.0016979,0.00279851,0.00110199
10.456,0.000735043,0.00188143,0.0014906
10.4803,0.00195548,0.00344435,0.00223814
10.5047,0.00167053,0.00307936,0.00194063
10.5291,0.000926639,0.00219995,0.00144328
10.5535,0.00117334,0.00231101,0.00138632
10.5778,0.00126856,0.00303081,0.00179627
10.6022,0.00115457,0.00357392,0.00162781
10.6266,0.00137423,0.00495525,0.00208423
10.6509,0.0023245,0.00746952,0.00317993
10.6753,0.00141513,0.0028441,0.0020676
10.6997,0.00135885,0.00388549,0.00156014
10.7241,0.00129149,0.00332431,0.00160593
10.7484,0.00171787,0.00490694,0.00236316
10.7728,0.00136352,0.00327575,0.0020607
10.7972,0.00162395,0.00391925,0.00329888
10.8216,0.00185788,0.00402392,0.00242671
10.8459,0.00261966,0.0035109,0.00224267
10.8703,0.00157879,0.00353258,0.00183996
10.8947,0.00158791,0.00365516,0.00139131
10.919,0.00175746,0.00445054,0.00169932
10.9434,0.00212802,0.0031863,0.00180851
10.9678,0.00239745,0.00363437,0.00229216
10.9922,0.00199143,0.00328419,0.00153188
11.0165,0.00146028,0.00279595,0.00167468
11.0409,0.0016157,0.0024477,0.00101439
11.0653,0.00147043,0.00318054,0.00150147
11.0897,0.00156866,0.00360092,0.00219259
11.114,0.00102667,0.00250803,0.00199947
11.1384,0.000956992,0.00356652,0.00152897
11.1628,0.000991276,0.00350399,0.00127119
11.1871,0.000691121,0.00194398,0.00115383
11.2115,0.00107737,0.00174942,0.00122728
11.2359,0.00177758,0.00352166,0.00180216
11.2603,0.00179961,0.00323917,0.00203355
11.2846,0.00192627,0.00287179,0.00155361
11.309,0.00184195,0.00415695,0.00124517
11.3334,0.00235171,0.00500758,0.00157811
11.3578,0.0013338,0.00516999,0.00147233
11.3821,0.0015671,0.00394578,0.00177918
11.4065,0.00201627,0.0034412,0.00185565
11.4309,0.00173755,0.00250926,0.00149614
11.4552,0.00174294,0.00266889,0.00113189
11.4796,0.00124883,0.00251714,0.00119651
11.504,0.000997669,0.00231551,0.00145422
11.5284,0.00169386,0.00318895,0.00183793
11.5527,0.00241292,0.00400686,0.00177687
11.5771,0.00253517,0.00425925,0.00190016
11.6015,0.00177857,0.00282136,0.00128295
11.6259,0.00159149,0.00293838,0.001577
11.6502,0.00144539,0.00223291,0.00154437
11.6746,0.00160673,0.00307427,0.00163051
11.699,0.00158674,0.00278681,0.00161832
11.7233,0.00159562,0.00193275,0.0014218
11.7477,0.00183314,0.00414704,0.00126365
11.7721,0.00187903,0.00352944,0.0010947
11.7965,0.00173217,0.00324277,0.00123187
11.8208,0.00195186,0.00318858,0.00147422
11.8452,0.00149168,0.00235336,0.00121169
11.8696,0.0017074,0.00351183,0.00138115
11.894,0.00151489,0.0030541,0.00121551
11.9183,0.00173042,0.00534095,0.00165867
11.9427,0.00146592,0.00422065,0.00123656
11.9671,0.0017308,0.00413946,0.00199925
11.9914,0.0022557,0.0048943,0.00249485
12.0158,0.00247757,0.00464128,0.00142953
12.0402,0.00121261,0.00224809,0.000760514
12.0646,0.00186887,0.00323435,0.00125081
12.0889,0.00146448,0.00288477,0.0014341
12.1133,0.00109472,0.00244195,0.00151598
12.1377,0.00205662,0.00417157,0.00213445
12.1621,0.00191115,0.00399423,0.00167173
12.1864,0.00145284,0.00516505,0.00173395
12.2108,0.0014632,0.00441636,0.00188651
12.2352,0.000887435,0.00161205,0.000796768
12.2596,0.00111915,0.00191677,0.00102747
12.2839,0.00203638,0.00280223,0.0012894
12.3083,0.00200412,0.0025981,0.00146301
12.3327,0.00140528,0.0025096,0.00155383
12.357,0.00111328,0.00214845,0.000951938
12.3814,0.00126703,0.00264619,0.00113276
12.4058,0.00147804,0.00197125,0.0013159
12.4302,0.00148935,0.00277497,0.00143635
12.4545,0.000884667,0.00268184,0.00118031
12.4789,0.00108379,0.00228963,0.000917105
12.5033,0.00107532,0.00252411,0.00125514
12.5277,0.00155062,0.00317269,0.00162772
12.552,0.00227492,0.0046669,0.00195288
